League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
ICELAND 1,2025-06-02,16:15:00,10,Valur,Fram,1.82,2.85,5.25,1.36,4.8,6.0,1.17,4.4,1.94,1.77,4.2,1.18,1.01,26.0,1.07,6.95,1.33,3.04,1.48,2.62,1.16,1.16,3.06,2.2,0.75,2.25,1.3,3.55,1.22,10.0,5.05,1.11,5.5,1.22,3.8,1.36,2.88,1.57,2.25,1.89,1.8
PARAGUAY 1,2025-06-02,17:00:00,22,Sportivo Luqueño,Sportivo Ameliano,4.1,1.93,2.85,2.82,2.87,2.4,1.42,2.55,3.1,1.3,8.7,1.05,1.08,7.5,1.4,2.8,2.25,1.53,1.95,1.75,1.33,1.32,1.3,1.0,1.33,1.38,1.31,2.69,2.3,6.0,1.91,1.41,2.46,1.73,2.0,2.2,1.62,2.98,1.34,4.1,1.18
CHILE 1,2025-06-02,19:00:00,13,Cobresal,Deportes Iquique,2.32,2.23,4.45,1.82,3.72,4.05,1.32,3.1,2.53,1.46,5.95,1.07,1.02,10.0,1.19,3.8,1.75,2.04,1.65,2.11,1.23,1.26,1.95,1.83,0.33,1.73,1.31,3.04,1.71,6.4,2.4,1.32,2.95,1.54,2.23,1.88,1.77,2.38,1.47,3.05,1.3
BRAZIL 2,2025-06-02,19:00:00,10,Chapecoense,Amazonas,2.54,1.8,4.9,2.04,2.93,3.47,1.45,2.56,3.15,1.31,8.2,1.02,1.08,7.5,1.36,2.8,2.37,1.48,1.91,1.83,1.33,1.31,1.8,2.25,0.25,1.63,1.1,2.73,1.77,8.3,2.39,1.17,4.2,1.26,3.05,1.57,2.31,1.91,1.84,2.36,1.52
BRAZIL 2,2025-06-02,21:00:00,10,Paysandu,Criciúma,2.75,1.72,4.7,2.25,2.81,3.14,1.52,2.4,3.35,1.27,8.2,1.05,1.06,7.0,1.44,2.63,2.25,1.53,2.05,1.72,1.36,1.34,1.7,0.5,0.25,1.81,1.31,3.12,1.77,7.25,3.3,1.18,4.33,1.31,3.02,1.57,2.25,1.91,1.8,2.34,1.53
