League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
ROMANIA 1,2025-05-12,12:00:00,8,Petrolul 52,Oţelul Galaţi,3.4,1.85,3.7,2.69,2.75,2.6,1.6,2.25,3.66,1.22,11.0,1.03,1.07,5.8,1.53,2.25,2.69,1.41,2.17,1.61,1.41,1.38,1.46,1.55,1.4,1.41,1.29,2.7,1.79,6.4,2.23,1.43,2.55,1.73,1.94,2.18,1.58,2.85,1.34,3.8,1.2
SERBIA 1,2025-05-12,13:00:00,5,Čukarički,IMT Novi Beograd,2.4,2.1,4.33,1.82,3.26,4.1,1.38,2.8,2.75,1.4,7.0,1.1,1.05,8.5,1.3,3.35,1.85,1.85,1.73,1.93,1.18,1.25,1.85,1.22,1.12,1.69,1.52,3.21,1.83,6.05,2.46,1.48,2.47,1.82,1.98,2.32,1.57,2.98,1.34,4.1,1.18
FINLAND 1,2025-05-12,13:00:00,6,SJK,VPS,2.5,2.4,3.54,2.28,3.71,2.88,1.25,3.3,2.4,1.57,4.9,1.15,1.0,12.0,1.14,5.0,1.6,2.4,1.45,2.52,1.32,1.22,1.73,1.75,1.33,1.9,1.38,3.28,1.66,9.0,2.56,1.2,3.9,1.5,2.55,1.65,2.1,2.05,1.7,2.9,1.46
ITALY 1,2025-05-12,13:30:00,36,Venezia,Fiorentina,3.6,2.05,3.1,3.14,3.16,2.3,1.44,2.63,3.25,1.33,10.0,1.06,1.08,7.5,1.4,2.9,2.2,1.61,1.91,1.91,1.55,1.3,1.36,1.11,1.22,1.35,1.25,2.6,2.28,6.2,2.05,1.49,2.38,1.89,1.81,2.5,1.44,3.42,1.23,4.95,1.11
POLAND 1,2025-05-12,14:00:00,32,Puszcza Niepołomice,Stal Mielec,3.1,2.2,3.08,2.7,3.15,2.57,1.36,3.25,2.62,1.43,6.5,1.05,1.03,9.5,1.22,3.7,1.79,1.93,1.61,2.31,1.33,1.25,1.5,1.13,0.56,1.38,1.36,2.74,1.97,7.6,2.14,1.25,3.5,1.5,2.62,1.84,2.1,2.1,1.67,2.75,1.4
TURKEY 1,2025-05-12,14:00:00,35,Kayserispor,Antalyaspor,2.6,2.2,4.33,1.96,3.44,3.6,1.36,3.0,2.75,1.4,7.0,1.1,1.05,9.0,1.3,3.45,1.88,1.88,1.8,1.91,1.25,1.25,1.83,1.65,0.59,1.51,1.07,2.58,1.65,8.5,2.5,1.25,3.28,1.48,2.4,1.85,1.85,2.38,1.49,3.2,1.26
SWEDEN 2,2025-05-12,14:00:00,7,Landskrona,Örgryte,2.38,2.3,4.33,1.8,3.45,3.64,1.33,3.25,2.5,1.5,6.5,1.11,1.04,9.0,1.22,3.9,1.7,1.95,1.67,2.1,1.17,1.22,2.0,2.0,0.67,1.75,1.57,3.32,1.43,9.5,3.32,1.21,3.9,1.25,3.28,1.47,2.42,1.85,1.85,2.28,1.53
NORWAY 2,2025-05-12,14:00:00,6,Kongsvinger,Odd,2.27,2.42,3.62,1.83,3.7,3.55,1.25,3.3,2.25,1.68,4.2,1.14,1.01,11.0,1.11,4.5,1.5,2.61,1.5,2.63,1.23,1.2,1.98,1.33,1.0,2.41,1.5,3.91,1.6,7.0,2.62,1.16,5.15,1.2,3.62,1.49,2.58,1.68,2.11,2.06,1.72
NORWAY 2,2025-05-12,14:00:00,6,Åsane,Stabæk,3.07,2.5,2.75,2.79,3.78,2.18,1.29,3.4,2.23,1.6,4.6,1.13,1.02,12.0,1.13,4.9,1.57,2.4,1.5,2.55,1.25,1.22,1.44,0.67,1.33,0.78,1.61,2.39,2.2,6.75,1.9,1.14,4.65,1.25,3.45,1.48,2.59,1.68,2.05,2.02,1.7
DENMARK 1,2025-05-12,14:00:00,8,Vejle,Lyngby,2.72,2.13,3.8,2.15,3.15,3.45,1.42,2.7,2.75,1.4,6.25,1.08,1.02,8.5,1.3,3.4,2.0,1.96,1.75,1.95,1.33,1.25,1.67,0.83,0.8,1.32,1.25,2.57,1.75,8.5,2.3,1.16,3.9,1.33,2.7,1.65,2.1,2.0,1.83,2.3,1.53
NORWAY 2,2025-05-12,14:00:00,6,Skeid,Lillestrøm,7.37,2.56,1.79,8.0,5.0,1.26,1.29,3.27,2.26,1.63,5.0,1.13,1.01,11.0,1.18,5.0,1.5,2.54,1.67,1.95,1.18,1.15,1.08,0.33,2.0,1.27,1.97,3.24,4.56,8.0,1.3,1.15,4.5,1.38,3.15,1.51,2.38,1.83,1.91,2.27,1.61
SWEDEN 1,2025-05-12,14:10:00,8,IFK Göteborg,Djurgården,3.0,2.1,3.75,2.3,3.09,2.77,1.44,2.63,3.25,1.33,9.0,1.07,1.01,8.4,1.34,3.26,1.95,1.75,1.91,1.91,1.36,1.28,1.57,1.0,2.0,1.67,1.51,3.18,1.83,8.5,2.15,1.16,4.05,1.34,2.78,1.63,2.09,2.05,1.7,2.67,1.39
ROMANIA 1,2025-05-12,15:00:00,8,Dinamo Bucureşti,Rapid Bucureşti,3.38,2.09,3.04,2.7,3.01,2.4,1.36,2.88,2.77,1.39,7.1,1.04,1.0,9.3,1.24,3.36,1.89,1.81,1.69,2.04,1.53,1.3,1.43,1.63,1.16,1.35,1.4,2.75,2.07,6.25,1.94,1.3,3.05,1.55,2.25,1.87,1.79,2.38,1.49,3.05,1.3
SERBIA 1,2025-05-12,15:00:00,5,Železničar Pančevo,Napredak,2.7,2.0,4.0,1.97,3.05,3.77,1.44,2.6,2.95,1.35,8.5,1.07,1.07,7.5,1.4,2.8,2.1,1.6,1.85,1.8,1.28,1.3,1.7,1.17,0.88,1.58,1.22,2.8,1.7,7.3,2.55,1.75,2.01,2.24,1.6,2.9,1.36,4.05,1.18,5.65,1.09
SPAIN 2,2025-05-12,15:30:00,39,Granada CF,SD Eibar,2.4,2.1,5.0,1.75,3.41,4.8,1.44,2.63,3.25,1.33,10.0,1.06,1.08,7.5,1.4,2.9,2.15,1.61,2.1,1.67,1.18,1.25,1.95,1.7,0.95,1.66,1.25,2.91,1.5,6.75,2.8,1.29,3.15,1.5,2.35,1.82,1.84,2.28,1.53,2.9,1.34
