League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
ESTONIA 1,2025-05-30,14:00:00,15,Tallinna FC Flora,Tammeka,1.46,2.81,7.24,1.17,7.0,11.0,1.18,4.2,2.03,1.73,4.4,1.2,1.02,21.0,1.1,5.75,1.4,2.9,1.83,1.8,1.06,1.08,3.75,2.0,0.5,1.73,1.27,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORWAY 2,2025-05-30,14:00:00,9,Skeid,Hødd,3.29,2.1,2.95,2.65,3.38,2.3,1.38,2.8,2.8,1.4,7.0,1.09,1.06,8.75,1.3,3.1,1.95,1.8,1.75,1.96,1.55,1.31,1.4,0.5,1.6,1.27,0.99,2.26,2.05,6.75,2.0,1.2,3.9,1.38,2.92,1.65,2.19,1.98,1.74,2.54,1.47
SWEDEN 2,2025-05-30,14:00:00,11,Örebro,Brage,2.9,2.1,3.45,2.33,3.23,2.62,1.42,2.75,2.9,1.36,7.0,1.06,1.02,10.0,1.29,3.25,2.0,1.72,1.75,1.89,1.4,1.28,1.53,0.4,1.83,1.54,1.44,2.98,1.58,7.0,2.55,1.22,3.8,1.38,2.75,1.63,2.12,1.98,1.73,2.48,1.47
TURKEY 1,2025-05-30,14:00:00,38,Kasımpaşa,Göztepe,2.37,2.45,3.4,1.97,4.0,3.3,1.2,4.1,1.9,1.78,3.9,1.22,1.01,17.0,1.11,6.25,1.36,3.1,1.35,2.9,1.33,1.23,1.78,1.22,0.78,1.72,1.39,3.11,1.71,6.5,2.4,1.26,3.4,1.46,2.5,1.73,1.97,2.15,1.61,2.7,1.38
TURKEY 1,2025-05-30,14:00:00,38,Antalyaspor,Trabzonspor,3.0,2.25,2.9,2.78,3.55,2.4,1.29,3.25,2.3,1.53,5.25,1.13,1.04,10.0,1.2,4.33,1.62,2.25,1.52,2.35,1.51,1.28,1.47,1.89,0.89,1.37,1.31,2.68,1.94,6.25,2.07,1.38,2.75,1.65,2.08,2.02,1.68,2.55,1.44,3.4,1.26
TURKEY 1,2025-05-30,14:00:00,38,Galatasaray,İstanbul Başakşehir,1.9,2.55,5.0,1.45,4.85,6.2,1.22,3.9,1.98,1.73,4.1,1.2,1.03,11.0,1.11,6.25,1.35,3.1,1.52,2.35,1.13,1.18,2.6,2.67,1.28,2.1,1.39,3.49,1.22,8.5,4.6,1.24,3.55,1.43,2.55,1.68,2.02,2.07,1.66,2.55,1.44
SPAIN 2,2025-05-30,15:30:00,42,CD Castellón,Real Zaragoza,2.4,2.2,3.9,1.81,3.8,3.95,1.31,3.1,2.37,1.5,5.75,1.12,1.04,10.0,1.2,4.33,1.65,2.05,1.6,2.2,1.27,1.26,1.85,1.52,1.1,1.87,1.34,3.21,1.47,7.0,2.95,1.3,3.05,1.54,2.25,1.88,1.78,2.35,1.5,3.05,1.3
IRELAND 1,2025-05-30,15:45:00,18,Bohemians,Derry City,3.0,1.94,3.7,2.47,3.02,2.6,1.49,2.58,3.34,1.28,9.0,1.03,1.1,7.0,1.4,2.63,2.25,1.53,1.93,1.75,1.36,1.3,1.6,2.0,1.22,1.96,1.27,3.23,1.67,8.2,2.8,1.38,2.83,1.65,2.1,2.05,1.7,2.75,1.37,3.4,1.19
IRELAND 1,2025-05-30,15:45:00,18,Cork City,Shelbourne,3.81,2.0,2.81,3.76,3.11,1.88,1.48,2.6,3.2,1.32,7.5,1.05,1.04,7.8,1.4,2.8,2.2,1.55,1.85,1.83,1.36,1.28,1.3,1.22,1.22,1.52,1.53,3.05,2.39,6.4,1.85,1.34,2.9,1.55,2.4,1.85,1.85,2.33,1.57,3.12,1.31
IRELAND 1,2025-05-30,15:45:00,18,Waterford,Drogheda United,3.3,2.05,3.4,2.51,3.06,2.53,1.4,2.7,2.85,1.37,6.5,1.07,1.03,9.0,1.33,3.2,1.94,1.76,1.8,1.97,1.33,1.3,1.44,1.11,1.4,1.53,1.39,2.92,1.95,7.4,2.22,1.29,3.3,1.48,2.57,2.01,1.96,2.25,1.6,2.88,1.36
