Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4
vqaJ3i8N,FINLAND 2,-,2025-07-28,12:30,OLS Oulu,Jazz Pori,2.25,2.6,4.0,1.2,3.92,1.97,1.71,4.23,1.17,1.75,3.4,4.1,1.02,19.0,1.07,6.28,1.36,2.8,1.89,1.78,3.32,1.27,1.4,2.75,1.2,1.29,1.91,21.0,21.0,29.0,41.0,13.0,8.0,15.0,29.0,12.0,9.0,10.0,26.0,17.0,13.0,17.0,26.0,81.0
t0BxO3bl,FINLAND 2,-,2025-07-28,12:30,SJK Akatemia,SalPa,2.02,2.57,4.2,1.17,4.23,1.89,1.78,3.92,1.2,1.57,4.45,4.3,1.01,21.0,1.07,6.28,1.33,2.95,1.89,1.78,3.15,1.29,1.44,2.42,1.19,1.18,2.32,23.0,20.0,30.0,65.0,11.75,9.5,14.0,30.0,10.25,8.25,12.5,26.0,13.0,10.5,15.5,35.0,150.0
QZ57TPzR,FINLAND 2,-,2025-07-28,12:30,Klubi 04,KaPa,1.93,2.82,4.05,1.11,5.33,1.65,2.06,3.15,1.29,1.55,4.7,4.35,1.01,35.0,1.01,11.0,1.2,3.92,1.51,2.32,2.17,1.59,1.29,3.0,1.18,1.17,2.4,35.0,30.0,40.0,75.0,18.5,12.0,16.0,30.0,14.0,9.5,11.75,23.0,16.0,10.5,13.0,24.0,80.0
rNST7j5b,FINLAND 1,-,2025-07-28,13:00,Gnistan,HJK,4.5,2.4,2.25,1.25,3.41,2.32,1.51,5.33,1.11,4.5,3.5,1.7,1.01,15.0,1.13,4.84,1.56,2.22,2.32,1.51,4.23,1.17,1.62,2.2,2.0,1.25,1.17,15.0,9.5,9.5,15.0,17.0,7.0,8.5,13.0,26.0,15.0,12.0,21.0,51.0,34.0,34.0,41.0,151.0
ruEVUwkl,ROMANIA 1,ROUND 3,2025-07-28,13:00,FC Botosani,Unirea Slobozia,2.5,2.1,4.75,1.44,2.57,3.15,1.31,8.7,1.04,1.83,3.25,4.0,1.06,8.87,1.37,3.02,2.18,1.69,4.03,1.23,8.87,1.06,2.0,1.73,1.2,1.3,1.8,8.5,11.0,21.0,41.0,6.5,6.5,15.0,41.0,8.0,9.0,17.0,41.0,15.0,17.0,29.0,51.0,351.0
tdkTnkLj,BULGARIA 1,ROUND 2,2025-07-28,13:00,Dobrudzha,Slavia Sofia,3.75,2.0,3.25,1.47,2.43,3.41,1.25,11.0,1.01,3.0,3.0,2.55,1.06,6.75,1.42,2.58,2.35,1.5,4.41,1.16,11.0,1.01,2.0,1.73,1.5,1.36,1.36,7.0,7.0,11.0,26.0,7.5,6.0,11.0,23.0,13.0,12.0,17.0,41.0,29.0,29.0,41.0,67.0,1250.0
fy18cboQ,SWEDEN 1,ROUND 17,2025-07-28,14:00,Elfsborg,Goteborg,2.6,2.3,3.75,1.28,3.35,2.47,1.48,5.86,1.1,2.0,3.6,3.5,1.02,13.0,1.23,4.03,1.72,2.13,2.65,1.46,4.98,1.16,1.62,2.2,1.29,1.29,1.8,13.0,13.0,19.0,41.0,9.0,7.0,12.0,26.0,11.0,9.0,13.0,29.0,19.0,15.0,21.0,41.0,151.0
WEXGa44e,POLAND 2,ROUND 2,2025-07-28,14:00,Odra Opole,Legnica,4.0,2.1,2.88,1.44,2.57,2.95,1.33,8.62,1.03,3.3,3.2,2.1,1.05,8.79,1.32,3.2,2.06,1.71,3.74,1.25,7.84,1.06,1.83,1.83,1.7,1.36,1.33,9.0,7.5,10.0,19.0,9.5,6.5,9.5,19.0,17.0,12.0,15.0,29.0,34.0,29.0,41.0,51.0,301.0
xYByIAdB,POLAND 1,ROUND 2,2025-07-28,14:00,GKS Katowice,Zaglebie,2.75,2.25,3.6,1.35,2.95,2.57,1.44,6.81,1.07,2.2,3.4,3.2,1.02,13.0,1.26,3.77,1.81,2.0,3.02,1.37,5.97,1.12,1.67,2.1,1.36,1.3,1.67,11.0,11.0,17.0,34.0,8.5,6.5,12.0,23.0,11.0,9.0,13.0,29.0,21.0,17.0,23.0,41.0,151.0
Q9YDN1YG,SWEDEN 2,ROUND 16,2025-07-28,14:00,Helsingborg,Varberg,3.0,2.2,3.4,1.33,2.95,2.72,1.38,7.7,1.04,2.4,3.2,2.8,1.01,9.56,1.25,3.41,1.87,1.79,3.15,1.29,6.28,1.07,1.7,2.05,1.4,1.36,1.53,10.0,10.0,15.0,29.0,9.0,6.5,11.0,23.0,12.0,9.5,13.0,29.0,23.0,19.0,29.0,41.0,201.0
